"","S.72.sti_FPKM","S.72.1_FPKM","S.73.sti.1_FPKM","S.73.1_FPKM","S.124.sti.1_FPKM","S.124.1_FPKM","S.103.sti.1_FPKM","S.103.1_FPKM","S.102.sti.1_FPKM","S.102.1_FPKM"
"ENSG00000000419",33.1107284460256,44.7337715813468,25.3002002346511,32.6655133384658,25.197707698755,34.2021393626556,27.9891580396863,31.6105755726713,26.6963554809165,31.1033903469909
"ENSG00000000457",1.56336773742334,6.61418542917249,1.46476153873699,6.1560682048709,1.47705822624124,6.04362414082884,1.47180759076432,5.47254433188433,1.426905013801,6.00329854962376
"ENSG00000000460",2.94006469142299,5.8999336086406,2.70735121383243,4.62163572973264,2.88238178175535,4.78959858259279,2.52594322445644,3.43713618270824,2.6313542757015,4.15448450754132
"ENSG00000001036",2.89806376740266,5.25976704358831,1.87075897243024,3.83249159031912,1.62029023217195,4.08779428181005,1.96758173370785,4.52464126207052,1.88547999945576,3.53245046728213
"ENSG00000001084",1.81070651220972,7.21142307876907,1.38731672722837,5.07472359521834,1.39280804235803,5.25873247408809,1.48158145695899,4.76780787024591,1.27796969106361,5.23834374451748
"ENSG00000001167",5.46478690197829,16.209061340404,5.01722827776008,11.7393143990795,5.7886671727971,12.1790277854841,5.20104992242273,10.9274199943883,5.36986567018487,13.6464974823049
"ENSG00000001461",2.87939669006029,9.59793007075891,3.50291498263839,9.63158684590729,4.0162419485944,9.10940248136949,3.47910590563213,8.84536212159426,3.46551402685505,10.4281418870799
"ENSG00000001497",8.71752512888595,11.282454511262,7.04081015319756,7.53118041931004,7.2785020305859,7.62768642477422,6.28666778556737,6.7081577675916,6.41536541628293,7.29990986898205
"ENSG00000001629",4.14875794934133,13.3413631010576,5.32244869775497,10.7696849884486,5.67476947817083,11.7384787402433,4.58521206504871,10.2772565313681,4.90329524510027,12.1284255630413
"ENSG00000001631",3.04273361680602,10.4352033210289,3.41836390452176,8.63616197687645,3.77136665280202,9.63310977950486,3.16553029160418,7.44829485277597,3.17382505425719,9.66805716613965
"ENSG00000002330",7.00948755205926,13.5980712992214,4.36717800924912,10.9446232609066,3.65128837762955,11.3235070282474,4.24206196284477,11.5005026694403,4.15181184860597,10.89858482979
"ENSG00000002549",16.0303526777587,20.8728502384543,11.7238860777174,14.6058016541747,9.77326079544358,13.3407647704898,10.2076384970547,13.4124987007181,10.3469644083258,12.8543209956447
"ENSG00000002586",30.520671464772,77.0078452557972,24.1550748052292,57.0818080902922,29.1567506325399,54.795852344207,28.9820062519346,56.5815275122048,29.5602307605699,55.9900352039323
"ENSG00000002822",1.73603820284024,7.57864149545216,1.81919178678524,5.54465357623533,1.91804265338069,5.37538459722882,1.681766028,5.73909142727599,1.83070696494268,5.34520535393639
"ENSG00000002834",27.1605975431457,84.0051474933053,24.881851814753,54.9229450756473,26.3245518488263,54.0906562486008,25.2724536322156,54.3626870967847,24.5808534389149,58.8227500021794
"ENSG00000002919",4.12542410266337,7.14578868848882,3.31158990689764,5.59108775096114,3.78732620186089,5.6980407906676,3.23617009658935,5.49725974874277,2.78254526352284,5.49496476921532
"ENSG00000003056",14.0796430954812,32.8060982156594,12.650030726212,26.8472932842785,13.3341775492356,24.9257156615664,11.958549187106,24.3259843669942,12.3335722834667,26.2500347000512
"ENSG00000003400",2.6413914539451,10.779563985573,2.83465553622395,8.78101149981324,2.60202246652506,8.45959229764092,2.83386659029879,7.83881795945039,2.59033823064703,9.1398561800136
"ENSG00000003402",3.99475456126679,7.66297225159987,4.11646342765414,7.11032207489143,4.5233856461576,6.84522232470254,3.7028666562302,6.52858645218614,3.91022314463677,7.89168778961364
"ENSG00000003509",2.54338929789767,6.36191898725085,2.72528684107084,5.77852750502325,2.80357642897979,6.40788640604166,2.66090953488258,5.71623647662074,2.57446261507508,5.98120486493814
"ENSG00000003756",3.87808532787699,17.3925909309388,5.24115909691342,14.8663994571657,5.84629132184009,16.8064503126516,5.24618805795298,13.9560651857657,5.32513498929302,17.306192580128
"ENSG00000004059",28.6166295758505,52.6412226137353,21.7075920457987,43.3615967944795,22.8527107806927,48.567178901884,24.4116834814156,49.0080291596627,20.6985835606633,42.1169992111418
