"","S.73.sti.1_FPKM","S.73.1_FPKM","log2_foldchange"
"ENSG00000004478",25.9524881823377,8.76508006114481,1.56603368902531
"ENSG00000006327",1.83611869594622,0.718966593132407,1.35266268248977
"ENSG00000011028",1.02699409364834,0.337032042536828,1.60747022067548
"ENSG00000011422",1.96465399633054,0.528983945913745,1.89297941172886
"ENSG00000011590",67.9928201506437,4.57202593401645,3.89447691776996
"ENSG00000025039",1.69872018033667,0.750604738260959,1.17832292335607
"ENSG00000049249",10.8095050695807,1.61229781172456,2.74511031094433
"ENSG00000049768",26.3182244877856,3.63286965557726,2.85688065443633
"ENSG00000050405",9.51283899589413,3.19867598246749,1.57240110225032
"ENSG00000056736",7.63078703919161,3.16508632012092,1.26958701803638
"ENSG00000059804",84.6707464861347,33.0066376597665,1.35910742769987
"ENSG00000060558",45.5231973567354,7.0145383145382,2.69818183374757
"ENSG00000060982",2.49542742565802,1.07100752254938,1.22031833331588
"ENSG00000061656",1.92490577558223,0.538658711317425,1.83734443676971
"ENSG00000065911",31.8183177393735,15.7385479262993,1.01555512050409
"ENSG00000065923",4.38606904692069,0.635122542310387,2.78782164211368
"ENSG00000067177",1.4200441659515,0.0655412443846274,4.43738892607997
"ENSG00000067208",6.19542308423641,0.107794435645387,5.84484819396466
"ENSG00000067225",199.886298745162,85.9344633091858,1.2178708520937
"ENSG00000070669",15.2045419201206,4.83556875177467,1.65274485949837
"ENSG00000072110",4.01307260261564,1.61132205311555,1.31646238422202
"ENSG00000072682",3.85889903319963,0.548978069480363,2.81336887387993
"ENSG00000073060",2.83498037763872,0.761568689183156,1.89629267894891
"ENSG00000073150",2.12073838661286,0.107794435645387,4.29821204846802
"ENSG00000074266",9.84666851461414,3.91323097591172,1.3312754241351
"ENSG00000075426",13.7780411803906,6.62217797213825,1.05699310610005
"ENSG00000075618",11.6403075069505,1.03574429201383,3.49038939627749
"ENSG00000076604",14.4375208792681,5.59666435358616,1.3671838996349
